"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UEQ2PNBF","bookSection","2008","Citton, Yves","Entre l'économie psychique de Spinoza et l'inter-psychologie économique de Tarde","Spinoza et les sciences sociales : de la puissance de la multitude à l'économie des affects","978-2-35480-014-7 2-35480-014-2","","","","","2008","2020-11-17 16:10:32","2020-11-17 16:10:32","","45-68","","","","","","","","","","","Éd. Amsterdam","Paris","","","","","","","0000","","<p>""Au sein du parallélisme spinozien, décrire la société comme ""un tissu d'actions inter-spirituelles et d'état mentaux agissant les uns sur les autres"" ne relève nullement d'un parti pris idéaliste [...], mais signale simplement qu'on entreprend de ""concevoir la réalité humaine sous l'attribut de le Pensée"" plutôt que sous celui de l'Etendue"" p. 49</p>; <p>""c'est à la théorisation d'une économie des affects - capable donc d'inclure ce que les <em>expectations</em> peuvent avoir d'<em>irrational </em>- qu'il appartiendra de redonner sa substance (purement modale) à cette épaisseur subjective, et de retrouver ce qu'il peut y avoir d'humain dans le coeur des agents économiques"" p. 62</p>; <p>""Ce système que constituent des ""états mentaux dispersés entre un grand nombre de cerveaux distincts"", et qui forme ces états en régissant leurs processus d'inter-constitution, devra être expliqué en termes de production, d'échanges, de concurrences et de flux. Bref, en des termes qui traitent ce système comme une économie : le ""cerveau collectif"" [...] illustre bien cet oikos dans lequel les actes mentaux d'une population humaine sont invités à ""faire bon ménage"", selon les lois (nomoi) de production, de transformation et d'interaction qu'il appartient au sociologue-interpsychiologue-économiste de formuler."" p. 53</p>; <p>""chacun de ces trois registres [valeurs-utilités, valeurs-vérités, valeurs-beautés] fait à son tour l'objet d'une appréciation selon trois paramètres que sont : a) le nombre de ceux qui adhèrent à la conception de l'utilité, de la vérité ou de la beauté valorisant (ou condamnant) un objet ou une pratique donnée ; b) le poids social de ces adhérents, selon leur statut, leur fonction, leur prestige, leur notoriété et tout ce qui détermine la capacité d'entraînement dont bénéficie leur jugement sur le jugement général du public ; et c) l'intensité de l'adhérence avec laquelle les partisans de cet objet ou de cette pratique sont prêts à en défendre et à en promouvoir les mérites."" p. 64</p>; <p>""dès lors qu'on ne conçoit plus ""le grand livre de la Nature"" comme rédigé de tout temps ""sur un grand rouleau"" par un Scripteur divin, il faut en conclure que ce livre s'écrit lui-même, au jour le jour, au fil des marques (soit des ""affections) que chacun de nos gestes imprime sur notre environnement."" p. 51</p>; <p>""En tant que résultat de processus de traçages, je ne sais jamais que ce que le monde aura tracé en moi."" p. 51</p>; <p>""La constitution d'un bien commun ne relève donc ni du cours spontané des intérêts égoïstes abandonnés à leurs conflits sauvages, ni d'une transcendance altruiste détachant les individus de leur intérêt personnel pour les aspirer vers les plus hautes sphères morales du don, mais de l'invention d'artifices qui redirigent ces intérêts (toujours égocentrés) en direction de synergies inédites, insérant dans la nature de nouvelles formes d'organisation"" p. 55</p>; <p>""La pluralisation des dimensions de la valeur exige aussi de distinguer entre trois registres dont les économistes ne retiennent qu'un seul : outre ls valeurs-utilités [...] Tarde nous invite à reconnaitre l'importance non moins décisive des valeur-vérités (qui mesurent les gains en connaissances et les victoires sur les erreurs, mais aussi plus largement tous les phénomènes relevant des croyances, de la confiance, des calculs de probabilités et des attentes) ainsi que celle des valeurs-beautés (qui définissent le champ esthétique, au sens large de tout ce qui affecte, blesse, ravit, mais aussi transforme, étend, rétrécit ou reconfigure nos goûts et nos sensibilités)."" p. 64</p>; <p>""Sur quelles bases esquisser une cartographie générale des dynamiques et des conditionnements censés relever d'une [...] économie des affects ?"" p. 47</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AKC7BW2C","audioRecording","1980","Deleuze, Gilles","Cours sur Spinoza 3- 16/12/80 - 2","","","","","http://www2.univ-paris8.fr/deleuze/article.php3?id_article=204","","1980-12-16","2020-11-17 16:10:47","2020-11-17 16:10:47","2020-08-17 05:41:22","","","","","","","","","","","La voix de Gilles Deleuze","","Université Paris 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RD6AFIWW","journalArticle","2006","Descola, Philippe","La fabrique des images","Anthropologie et Sociétés","","0702-8997","","http://id.erudit.org/iderudit/014932ar","","2006","2020-11-17 16:10:54","2020-11-17 16:10:54","2010-05-11 12:35:50","167-182","","3","30","","","","","","","","","","","","","","","","0009","","<p>""l’animisme se définit par la généralisation aux non-humains d’une intériorité de type humain combinée à la discontinuité des physicalités corporelles, donc des perspectives sur le monde et des façons de l’habiter."" p. 177</p>; <p>""L’identification totémique est fondée sur le partage au sein d’une  classe d’existants regroupant des humains et diverses sortes de  non-humains d’un ensemble limitatif de qualités physiques et morale que  l’entité éponyme est réputée incarner au plus haut degré."" p. 180</p>; <p>""La formule du naturalisme est inverse de celle de l’animisme&nbsp;: ce n’est  pas par leur corps, mais par leur esprit, que les humains se  différencient des non-humains, comme c’est aussi par leur esprit qu’ils  se différencient entre eux, par paquets, grâce à la diversité des  réalisations que leur intériorité collective autorise en s’exprimant  dans des langues et des cultures distinctes&nbsp;; quant aux corps, ils sont  tous soumis aux mêmes décrets de la nature et ne permettent pas de se  singulariser par des genres de vie, comme c’était le cas dans  l’animisme."" p. 178</p>; <p>""Rappelons que l’identification analogique repose sur la reconnaissance d’une discontinuité générale des intériorités et des physicalités aboutissant à un monde peuplé de singularités, un monde qui serait donc difficile à habiter et à penser en raison du foisonnement des différences qui le composent, si l’on ne s’efforçait de trouver entre les existants, comme entre les parties dont ils sont faits, des réseaux de correspondance permettant un cheminement interprétatif."" p. 182</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G3KSQE6C","webpage","","Latour, Bruno","An Inquiry Into the Modes of Existence","Modes of existence","","","","http://www.modesofexistence.org","AIME Project Home Page","","2020-11-17 16:06:16","2021-06-18 11:44:16","2020-11-17 16:06:16","","","","","","","","","","","","","","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NDWHVT9","book","2017","Szoniecky, Samuel","Écosystème de connaissances :  méthode de modélisation et d’analyse de l’information et de la communication","","978-1-78405-334-5","","","","","2017","2020-11-17 16:11:40","2021-06-28 21:18:15","","","","","","","","","","","","","ISTE Editions","","","","","","","Amazon","","","","","https://www.amazon.fr/%C3%89cosyst%C3%A8me-connaissances-Samuel-Szoniecky/dp/1784053341/ref=sr_1_4?ie=UTF8&qid=1515691203&sr=8-4&keywords=szoniecky","Communication; information; connaissance; modélisation; écosystème; méthode; Axe 3; Éditorialisation, humanités et cultures numériques; analyse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRPB2VI3","webpage","","Descola, Philippe","Biographie","","","","","https://www.college-de-france.fr/site/philippe-descola/index.htm","Anthropologie de la nature (2000-2019) - Philippe Descola est anthropologue, lauréat de la médaille d'or du CNRS et Professeur émérite du Collège de France. Il a occupé la chaire Anthropologie de la nature de 2000 à 2019.","","2020-11-17 16:13:01","2021-06-18 09:39:59","2020-11-17 16:13:01","","","","","","","","","","","","","","fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FXKX5LYE","webpage","","Lévy, Pierre","Intlekt Editor | IEML","","","","","https://dev.intlekt.io/","","","2020-11-17 16:12:24","2021-06-18 10:50:28","2020-11-17 16:12:24","","","","","","","","","","","","","","","","","","","","","","","","","intelligence; ieml; Pierre Lévy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7GSELQU3","webpage","1980","Deleuze, Gilles","Spinoza - Université de Vincennes à Sanit-Denis 1 - 02/12/1980","La voix de Gilles Deleuze - Université Paris 8 Vincennes-Saint-Denis","","","","http://www2.univ-paris8.fr/deleuze/article.php3?id_article=91","","1980","2020-11-17 16:11:00","2021-06-18 13:04:51","2020-11-17 16:10:56","","","","","","","","","","","","","","Français","","Universitaire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QEF93US4","book","2017","Drucker, Johanna","Visualisation. L’interprétation modélisante","","978-2-490-07724-3","","","https://editions-b42.com/produit/visualisation/","Les diagrammes, cartes et visualisations de données ont conquis le domaine de la recherche en arts, lettres et sciences humaines. Pour certains chercheurs, ces formes graphiques consistent à exploiter des données quantitatives jusqu’ici délaissées, pour d’autres, elles offrent la possibilité d’explorer les relations discrètes qu’entretiennent des corpus hétérogènes. Mais sur quels fondements épistémologiques reposent ces opérations techniques et intellectuelles ? Dans le cadre de la production du savoir et de son interprétation en régime numérique, est-il possible de dépasser le simple effet d’affichage des données, certes bluffant au premier abord, et d’envisager autrement les interfaces et les logiciels ? Considérée aujourd’hui comme l’une des plus importantes théoriciennes des humanités numériques, Johanna Drucker livre dans cet ouvrage, spécialement rédigé pour la collection, une alternative aux formes dominantes de la visualisation de l’information. Héritière de la tradition humaniste, elle propose une approche qui réhabilite l’idée d’un sujet situé et incarné qui expérimente et conceptualise les connaissances par le prisme de la représentation graphique.","2017","2020-11-17 16:10:44","2020-11-17 16:10:44","","","","","","","","Visualisation","Esthétique des données","3","","","B42","Paris","français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLKCPXCB","thesis","2007","Jedrzejewski, Franck","Diagrammes et Catégories","","","","","http://tel.archives-ouvertes.fr/tel-00193292/en/","","2007","2020-11-17 16:24:11","2020-11-17 16:24:11","2012-03-06 14:50:24","","","","","","","TEL","","","","","Université Paris-Diderot - Paris VII","Paris","","","Philosophie","","","","","","<p>""C’est encore la topologie qui est au cœur de la pensée de Gilles Deleuze aussi bien dans les méandres psychanalytiques de l’Anti-Œdipe que dans les&nbsp; strates du pouvoir&nbsp; de Mille Plateaux. Une philosophie qui puisse rendre compte des transformations multiples des mécanismes de pouvoir et des forces tensives de toutes espèces&nbsp; se doit de chercher dans&nbsp; les ob jets qu’elle considère la place qui leur revient. C’est dans cet espace abstrait où s’accumulent les données de tous ordres que germe le sens profond révèlé par l’examen de l’appareil topologique."" p. 8</p>; <p>""Ce parcours nous a aussi conduit à une critique du logicisme et de la philosophie analytique et de ses prolongements qui mènent trop souvent à une illusion de profondeur orchestrée par la réduction tautologique. Toutefois, il ne s’agit pas d’exclure la logique du champ philosophique, mais il nous paraît plus fondamental de reconsidérer ce qui la fonde, le morpho-topologique qui la précède dans ses soubassements mêmes. Nous condamnons donc ces philosophies qui ne cessent de tourner autour des mêmes propositions, celles qui aﬃrment que “tous les corbeaux sont noirs”. Car il nous paraît aujourd’hui essentiel de reconsidérer ces propositions universelles et de savoir que faire d’un corbeau qui serait aussi bleu que l’orange d’Eluard."" p. 183</p>; <p>"" Ce qui compte désormais n’est pas la proposition, mais le lieu, le topos qui a sa propre vie organique et qui impose ses modes de raisonnement. Par défaut, la logique immanente d’un topos est intuitionniste : le tiers exclu n’est plus valable, ni le mode de démonstration par l’absurde."" p. 183</p>; <p>""Et dès lors l’espace scientifique n’est plus le lieu de la certitude des objets bien faits, de toute une hiérarchie de propositions que l’on peut atteindre par de simples inférences et des tautologies stériles, mais devient la proie d’une diagrammatique perverse, dont la rigoureuse justification se perd dans les brumes d’une étrange rationnalité."" p. 7</p>; <p>""Il faut au pertuis de l’entendement un jugement sûr pour dégager de l’entrelacs de toutes ces figures, le visage de ce qui dans cette machinerie ne cesse d’advenir. Telle est l’aventure diagrammatique qui consiste à ravir le stochastique à l’indifférence du lieu pour le soumettre à notre discernement. Non pas parce que le diagramme règle l’aléatoire, mais parce qu’il enferme le sens et qu’il nécessite parfois toute la force de l’alchimiste pour réaliser la transmutation du signifiant en signifié."" p. 9</p>; <p>""L’arbre, parce qu’il met à plat une combinatoire avec d’autres symboliques et d’autres imaginaires produit une hiérarchie des cas possibles et continue à travers l’histoire de symboliser l’ordre taxinomique. Il ne faut pas croire que la forme de l’arbre est restée inchangée ou que ce qui a changé n’est que son point d’application. L’arbre du Moyen Age est pourvu de racines qui participent autant que les branches et les feuilles à la classification des objets. La circulation des flux dans cet arbre ne va pas que des racines aux feuilles. La forme elle-même change. Au fil des siècles, les racines disparaissent et à l’âge classique les arbres n’ont plus qu’une racine unique, voir plus de racine du tout. Ce qui change n’est pas le point d’application, mais l’opératoire qui est associée à l’arbre en tant que diagramme."" p. 140</p>; <p>""L’arbre, parce qu’il met à plat une combinatoire avec d’autres symboliques et d’autres imaginaires produit une hiérarchie des cas possibles et continue à travers l’histoire de symboliser l’ordre taxinomique. Il ne faut pas croire que la forme de l’arbre est restée inchangée ou que ce qui a changé n’est que son point d’application. L’arbre du Moyen Age est pourvu de racines qui participent autant que les branches et les feuilles à la classiﬁcation des objets. La circulation des ﬂux dans cet arbre ne va pas que des racines aux feuilles. La forme elle-même change. Au ﬁl des siècles, les racines disparaissent et à l’âge classique les arbres n’ont plus qu’une racine unique, voir plus de racine du tout. Ce qui change n’est pas le point d’application, mais l’opératoire qui est associée à l’arbre en tant que diagramme."" p. 140</p>; <p>""La dualité se distingue de l’analogie. Cette dernière intervient dans la formation de concepts scientifiques et c’est ce qui lui confère son importance dans la théorie de la connaissance. En établissant un rapport entre l’inconnaissable et le connu, l’analogie met curieusement en équation la connaissance qui ne peut plus ignorer de territoires inconnus, rationnellement équipollés et par conséquent résolubles. Tout s’ordonne dans des rapports mathématiques et la combinatoire devient l’instrument qui permet de dérouler les mécanismes rationnels qui conduiront à la solution du problème."" p. 167</p>; <p>""La globalisation de la pensée est toujours une condensation du sens."" p. 8</p>; <p>""La question n’est pas la logique des mondes, mais leur topologie. Un topos a une logique intuitionniste qui se réduit à une logique classique si le topos est booléen. Le lieu précède le sens."" p. 8</p>; <p>""Le centre doit sans cesse produire de la spirale parce que la transformation du signifiant en signifié produit elle-même du signifiant."" p. 155</p>; <p>""Le dévoilement du geste induit le dénouement du sens.</p> <p>Le diagramme est à l’interface de l’actuel et du virtuel. Le virtuel est ce qui pousse sous l’actuel."" p. 185</p>; <p>""Le diagramme est le lieu de cette vérité qui ne se saisit pas par une succession d’inférences logiques, mais globalement, intuitivement, dans une dimension intellectuelle et corporelle qui passe par le geste."" p. 184</p>; <p>""Le diagramme mêle sous mille formes des séries intelligibles que le geste de<br />l’homme organise avec ses propres ressources en laissant entrevoir l’outil en lequel le<br />territoire se métamorphose pour lui conférer du sens. La signiﬁcation suscitée par le<br />dévoilement du geste revendique le cheminement qui l’a fait naître. Le dénouement<br />du sens est à ce prix : reconstituer le geste dans le diagramme pour comprendre<br />comment le sujet rencontre le sens"" p. 17</p>; <p>""Le diagramme substitue à l’ordre sériel de l’enchaînement des vérités l’ordre topologique. Il ne traduit pas une représentation fidèle et nécessairement conforme à la réalité. Son pouvoir ne réside pas dans la fidélité graphique, mais dans sa pertinence et dans sa propension à stimuler l’imaginaire."" p. 76</p>; <p>""Le foncteur, c’est d’abord ce qui permet de passer d’un territoire à un autre. En ce sens, le diagramme est un foncteur puisqu’il réalise le passage du virtuel à l’actuel."" p. 13</p>; <p>""Les plateaux sont des multiplicités qui s’interconnectent par des ramifications rhizomatiques, qui posent que l’écrit n’est plus un signifié, mais un arpentage et une cartographie. C’est l’objet de la philosophie que de construire des réseaux qui relient les idées et produisent les concepts. De là, l’importance des lieux synaptiques qui sont à la charnière des strates et des couches géologiques, des niveaux et des plans que composent le savoir et le monde. Les surfaces sont toujours entaillées de modifications de reliefs que le rhizome restitue. L’Être n’est plus l’Être en tant qu’Être mais l’Être en tant qu’Être en un lieu. Le topos est le plan d’immanence sur lequel se développe la réflexion sur la philosophie des sciences. L’ontologie se mue en une onto-(po)-logie ou ontologie toposique."" p. 156</p>; <p>""Les plateaux sont des multiplicités qui s’interconnectent par des ramifications rhizomatiques, qui posent que l’écrit n’est plus un signifié, mais un arpentage et une cartographie. C’est l’objet de la philosophie que de construire des réseaux qui relient les idées et produisent les concepts. De là, l’importance des lieux synaptiques qui sont à la charnière des strates et des couches géologiques, des niveaux et des plans que composent le savoir et le monde. Les surfaces sont toujours entaillées de modifications de reliefs que le rhizome restitue. L’Être n’est plus l’Être en tant qu’Être mais l’Être en tant qu’Être en un lieu. Le topos est le plan d’immanence sur lequel se développe la réflexion sur la philosophie des sciences. L’ontologie se mue en une onto-(po)-logie ou ontologie toposique."" p. 156</p>; <p>""Pour décrire des interconnexions multiples et des topologies floues, pour approcher au plus près la réalité, Deleuze abandonne les figures géométriques simples et pose une nouvelle espèce de diagramme qui n’a ni commencement, ni fin, et qui ne prédispose pas l’organisation des flux. Ce diagramme qu’il appelle un rhizome renvoie à la fois de la botanique et à toutes les autres sciences. Le rhizome de Deleuze n’est pas nécessairement un objet souterrain. Sa configuration topologique relève aussi bien des enchevêtrements de racines que des amas de galaxies. C’est une structure suffisamment complexe pour embrasser en un même lieu la disposition du réel."" p. 154</p>; <p>""Pour nous, la vérité serait plutôt à chercher dans une résonance harmonique de l’Être de l’étant, ou comme la forme fonctorielle de l’immanence de l’Être. "" p. 184</p>; <p>""Pour nous, la vérité serait plutôt à chercher dans une résonance harmonique de l’Être de l’étant, ou comme la forme fonctorielle de l’immanence de l’Être."" p. 184</p>; <p>"" Pour rendre compte de ces lieux qui préludent à l’établissement logique, la vérité ne peut plus être pensée et utilisée comme une fonction de valuation sur un espace de propositions auquel est associée une valeur numérique ou booléenne, une valuation normative où son rôle est de vérifier une possibilité. La vérité est d’abord une intuition foudroyante qui dit la vérité du lieu. Non seulement il y a des zones d’indécidabilité, des régions où la vérité est quantifiée, mais aussi des espaces où le mode de propagation des vérités n’est pas l’inférence sur des chaînes de propositions vraies, mais des pans entiers résonants entre modèles adéquats. "" p. 184</p>; <p>""Rappelons que dans la théorie de Peirce, il y a trois modes d’êtres ou catégories phanéroscopiques : la priméité, la secondéité et la tiercéité. « La priméité est le mode d’être de ce qui est tel qu’il est, positivement et sans référence à quoi que ce soit d’autre. »68 La priméité est la catégorie du sentiment et de la qualité. A cette catégorie appartient, par exemple, la rougéité, qui est le mode d’être de ce qui est rouge, avant même que dans l’univers quelque chose fût rouge69, mais aussi « certaines qualités sensibles comme la valeur magenta, l’odeur de l’essence de rose, le son d’un sifflet de locomotive, le goût de la quinine »70. « La secondéité est le mode d’être de ce qui est tel qu’il est par rapport à un second, mais sans considération d’un troisième quel qu’il soit. »71 C’est la catégorie de l’expérience, de la lutte, du fait et de l’existence. « Dire qu’une table existe, c’est dire qu’elle est dure, lourde, opaque, sonore, autrement dit qu’elle produit des effets immédiats sur les sens, et aussi qu’elle produit des effets purement physiques, attirée par la terre (autrement dit, qu’elle est lourde), réagit dynamiquement contre d’autres choses (autrement dit, qu’elle a une force d’inertie), résiste à la pression (autrement dit, qu’elle est flexible) »72. Enfin « la tiercéité est le mode d’être de ce qui est tel qu’il est, en mettant en relation réciproque un second et un troisième. »73 La tiercéité est la catégorie de la pensée et de la loi. Elle met en relation un premier et un second. Si une paire de dés amène cinq fois de suite un double six, cela ne veut pas dire que la fois suivante un double six sortira de nouveau, mais que le résultat même s’il est actuellement inconnu sera toutefois déterminé. « Ce mode d’être qui consiste, et je dis bien consiste, dans le fait que les faits futurs de la secondéité revêtiront un caractère déterminé, je l’appelle tiercéité. »74"" p. 73</p>; <p>""Si le pouvoir est inscrit dans la topologie des lieux, le savoir est plus fondamentalement, par delà la complexité des relations et l’entrelacement des devenirs, l’émanation première d’un lieu où s’origine le diagramme."" p. 7</p>; <p>""Un topos a une logique intuitionniste qui se réduit à une logique classique si le topos est booléen. Le lieu précède le sens."" p. 8</p>; <p>""Une des conséquences de la théorie mathématique des catégories est que la logique est déterminée par le topologique. Ce qui compte désormais n’est pas la proposition, mais le lieu, le topos qui a sa propre vie organique et qui impose ses modes de raisonnement. Par défaut, la logique immanente d’un topos est intuitionniste : le tiers exclu n’est plus valable, ni le mode&nbsp; de démonstration par l’absurde. Lorsque l’axiome du choix est vériﬁé, ou de manière équivalente lorsqu’il existe une structure topologique particulière des ensembles inﬁnis, alors le théorème de Diaconescu pose que le topos est booléen et que sa logique est classique. Cette logique aboutit le plus souvent à un partage sans autres perspectives entre des propositions qui se résolvent par tautologies pour prolonger des axiomes initiaux et des propositions fausses qui les contredisent. Dans tous les cas, classique ou non, le topologique précède le logique. L’ontologie n’est plus placée sous la dépendance de la logique, mais du topologique. Cette instance ouvre la voie à une nouvelle description de la topologie de l’Être ou onto-(po)-logie. Le but de toute ontologie est une théorie des catégories"" p. 183</p>; <p>""Une fois des catégories posées, elle joue le rôle moderne de ce qu’on appelait autrefois l’analogie ou la similitude, non pas en donnant simplement des rapports de ressemblance ou de convenance, mais en précisant par le biais de foncteurs ce qui de l’une des catégories se trouve dans l’autre, avec des objets comparables, des propriétés et des relations similaires et un mode de fonctionnement identique."" p. 13</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
